,station_id,bikes_available,docks_available,time
2349748,11,14,5,2013/09/02 15:16:01
2349794,11,15,4,2013/09/02 16:05:01
2349868,11,13,6,2013/09/02 17:25:01
2363756,11,6,13,2013/09/13 09:52:03
2365393,11,5,14,2013/09/14 14:00:02
2370834,11,10,8,2013/09/18 09:33:02
2375705,11,4,15,2013/09/21 20:11:01
2375707,11,2,17,2013/09/21 20:14:01
2375709,11,1,18,2013/09/21 20:16:01
2375710,11,0,19,2013/09/21 20:17:02
2375760,11,3,16,2013/09/21 21:08:01
2381151,11,16,3,2013/09/25 17:57:04
2381235,11,17,2,2013/09/25 19:25:02
2469241,11,13,5,2013/11/26 14:04:02
2469246,11,12,6,2013/11/26 14:09:03
2469296,11,14,4,2013/11/26 14:59:02
2469306,11,11,7,2013/11/26 15:09:02
2537888,11,9,9,2014/01/13 09:28:03
2561177,11,8,10,2014/01/29 14:17:02
2568419,11,18,1,2014/02/03 15:04:03
2604898,12,4,15,2013/08/29 12:06:01
2604901,12,5,14,2013/08/29 12:09:01
2604904,12,6,13,2013/08/29 12:12:01
2604905,12,9,10,2013/08/29 12:13:01
2604914,12,10,9,2013/08/29 12:25:01
2604916,12,11,8,2013/08/29 12:27:04
2605374,12,12,7,2013/08/29 20:55:01
2606169,12,13,6,2013/08/30 11:49:01
2606201,12,14,5,2013/08/30 12:29:01
2606202,12,15,4,2013/08/30 12:30:01
2610462,12,8,11,2013/09/02 19:23:01
2611322,12,7,12,2013/09/03 11:35:02
2619303,12,3,16,2013/09/09 17:36:01
2673448,12,11,7,2013/10/18 07:58:02
2673489,12,12,6,2013/10/18 08:39:01
2673613,12,10,8,2013/10/18 10:43:01
2673616,12,9,9,2013/10/18 10:46:02
2680819,12,16,3,2013/10/23 11:04:02
2680820,12,17,2,2013/10/23 11:05:01
2688150,12,18,1,2013/10/28 15:23:01
2695898,12,0,19,2013/11/03 02:00:01
2749638,12,7,10,2013/12/10 10:01:03
2749737,12,7,11,2013/12/10 11:40:02
2771426,12,14,4,2013/12/25 13:10:02
2771427,12,16,2,2013/12/25 13:11:02
2821508,12,8,10,2014/01/29 11:39:03
2821513,12,3,11,2014/01/29 11:44:02
2821607,12,4,10,2014/01/29 13:18:02
2821768,12,4,11,2014/01/29 15:59:01
2821781,12,5,9,2014/01/29 16:12:02
2821783,12,6,8,2014/01/29 16:14:02
2821787,12,7,7,2014/01/29 16:18:02
2821788,12,10,4,2014/01/29 16:19:02
2821825,12,11,3,2014/01/29 16:56:02
2821851,12,11,4,2014/01/29 17:22:02
2821852,12,11,5,2014/01/29 17:23:02
2835822,12,8,9,2014/02/08 10:18:02
2865387,13,0,15,2013/08/29 12:06:01
2865427,13,1,14,2013/08/29 12:52:01
2865428,13,4,11,2013/08/29 12:53:02
2865429,13,6,9,2013/08/29 12:54:02
2865430,13,7,8,2013/08/29 12:55:01
2865529,13,8,7,2013/08/29 14:44:02
2865632,13,5,10,2013/08/29 16:38:02
2865755,13,3,12,2013/08/29 18:53:01
2866831,13,2,13,2013/08/30 14:57:01
2867098,13,10,5,2013/08/30 19:57:01
2867193,13,12,3,2013/08/30 21:43:02
2868082,13,13,2,2013/08/31 13:58:02
2869284,13,11,4,2013/09/01 12:00:01
2869478,13,9,6,2013/09/01 15:33:01
2988904,13,6,8,2013/11/25 16:09:03
3081660,13,6,7,2014/01/29 06:02:02
3081796,13,5,9,2014/01/29 08:18:02
3081800,13,0,7,2014/01/29 08:22:02
3081864,13,1,6,2014/01/29 09:26:02
3081907,13,2,5,2014/01/29 10:09:03
3081908,13,3,4,2014/01/29 10:10:03
3082335,13,4,3,2014/01/29 17:17:02
3082356,13,5,2,2014/01/29 17:38:02
3082359,13,5,3,2014/01/29 17:41:02
3082360,13,5,4,2014/01/29 17:42:02
3082362,13,6,3,2014/01/29 17:44:02
3082363,13,7,4,2014/01/29 17:45:03
3082366,13,7,5,2014/01/29 17:48:03
3082367,13,7,6,2014/01/29 17:49:03
3082371,13,7,7,2014/01/29 17:53:02
3086110,13,2,12,2014/02/01 08:17:02
3086128,13,3,11,2014/02/01 08:35:02
3086130,13,4,10,2014/02/01 08:37:02
3125876,14,10,9,2013/08/29 12:06:01
3125892,14,9,10,2013/08/29 12:25:01
3126958,14,8,11,2013/08/30 08:21:01
3127394,14,7,12,2013/08/30 16:21:01
3131068,14,6,13,2013/09/02 12:30:01
3132824,14,11,8,2013/09/03 21:26:01
